,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
10728,18742531.0,3.0,3.0,-5.9869,13.277,-1.367,-5.9868,13.277,-1.3665,0.0010315,0.00091808,0.059923,0.059951,17.0,1.0
10729,18742531.0,5.0,3.0,-4.896,11.982,2.2979,-5.2211,14.456,3.7322,0.94479,0.94041,0.052521,0.062773,17.0,0.0
10730,18742531.0,7.0,3.0,-1.0975,14.739,6.6022,0.57659,15.232,5.6441,0.51024,0.50821,0.067947,0.075617,0.0,0.0
10731,18742531.0,9.0,3.0,-1.0985,14.737,6.6079,-1.071,14.75,6.6212,0.0027675,0.00095585,0.067924,0.069247,0.0,0.0
10732,18745237.0,1.0,3.0,-12.629,-2.2647,0.75507,-15.138,-2.6588,0.8238,0.98733,0.98386,0.026104,0.035119,13.0,0.0
10733,18745237.0,3.0,3.0,-13.111,-1.4421,-1.3269,-13.45,-3.6413,-4.2196,0.51672,0.51391,0.028798,0.042829,13.0,0.0
10734,18745237.0,5.0,3.0,-13.273,-2.4917,-2.7075,-12.892,-2.5873,-2.71,0.011578,0.00089894,0.035494,0.044278,13.0,1.0
10735,18745237.0,7.0,3.0,-13.098,-2.5554,-2.7032,-13.094,-2.5481,-2.7081,0.0017213,0.00099063,0.038683,0.039124,13.0,1.0
10736,18749381.0,1.0,3.0,-1.2419,13.834,-4.4343,0.62734,15.204,-4.7894,0.53369,0.53111,0.038977,0.047944,0.0,0.0
10737,18757828.0,1.0,3.0,5.964,12.693,15.557,5.9423,13.849,16.484,0.64553,0.64414,0.031608,0.037118,1.0,0.0
